"consignee","product","weightKG"
"MING HONG INTERNATIONAL INC.","FROZEN ESCOLAR STEAKN W:6,310.0KGTEMP:-25C",6625
"COLORADO BOXED BEEF CO.","Fish prepared or preserved whole or piecesFROZEN TILAPIA FILLETPO NO. 39529HS CODE 160419TEMPERATURE SETTING AT -18 DEGREESCENTIGRADE",24000
"WAL-MART STORES INC","ABACCA BISTRO SET PO 2001 729515 ITEM 16893 42 HTS 9403200015 S/C 06-003TPC C/R 3.9 G LN#007874200000 8 THIS SHIPMENT CONTAINS NO REGULATED WOOD PACKING MATERIAL CY TO CY FREIGHT COLLECT SHIPPER -S LOAD, STOW AND C OUNT. SEAWAY BILL SHIPPER A DVISE THAT -NO CHANGE OF DESTINATION ALLOWED. - ONLY MERCHANT HAULAGE ALLO WED. -EMPTY RETURN AT MSC LONG BEACH, CA DEPOT ONLY . -NO DROP OF F EMPTY CONT AINER AT ANY OTHER DEPOTS",32011
"HELLMANN WORLDWIDE LOGISTICS","INDUPRINT SE 5713 . 18 PACKGS. 18 IBC OF INDUPRINT SE 5713 NET WEIGHT 18000 KG HS-CODE 3903 9090 ORDER NO 001570 REF LEJDETE01074",19260
"DARIK ENTERPRISES INC.","FROZEN LOBSTER TAILS 1,643.00 CASES 16,430.00 NET POUNDS 7,452.60 NET KGMS 19,716.00 GROSS POUNDS 8,943.12 GROSS KGMS 030611 H.S CODE FROZEN WHOLE SNAPPER 34.00 CASES 1,700.00 POUNDS 771.11 NET POUNDS 1,768.00 NET KGMS 801.96 GROSS POUNDS 030389 H.S CODE FROZEN STING RAY FILLET 760.00 CASES 19,000.00 POUNDS 8,618.34 NET POUNDS 20,520.00 NET KGMS 9,307.81 GROSS POUNDS 030489 H.S CODE TEMPERATURE SET AT -18.00 C (-0.40 F) VENTILATION: 100% CLOSED FRESH AIR EXCHANGE RATE SET AT",19052
"HELLMANN WORLDWIDE LOGISTICS","SCHOOL FURNITURE SCHOOL FURNITURE SCHOOL FURNITURE SCHOOL FURNITURE",22466
"CAMERICAN EXPRESS INC","CANNED MUSHROOMS CANNED MUSHROOMS CANNED MUSHROOMS CANNED MUSHROOMS CANNED MUSHROOMS CANNED MUSHROOMS PO# MF-405015- NO:BF2521/2522/2523/2524/3040/3041",103500
"PEGASUS MARITIME INC.","TOOR DAL OILY HS NO.0713909",20202
"LIVINGSTON INTERNATIONAL INCORPORAT","NEW TIRES",44507
"THE CHERRY CO., LTD.","SUSHI CONVEYOR BELT MACHINE MELAMINE SUSHI PLATE PLASTIC SUSHI COVER",1240
"COSTCO WHOLESALE CORPORATION","CERAMICWARE ANTILLES SHIPPER: NO 5--8 HONG YEH 9TH ROAD HONGYEH CONTACT PERSON:WENDY FAX NO.86-769-87726185",11623
"SUNNYVALE SEAFOOD CORPORATION","FROZEN PEELED AND DEVEINED TAIL-OFF WHITE SHRIMP",17661
"VINH HOAN USA INC.","FROZEN SWAI FILLET (PANGASIUS HYPOPHTHALMUS) FDA REGISTRAT ION NUMBER : 12919869006 N.W: 43,500.00 LBS",21091
"TOYOTA TSUSHO AMERICA INC.","400 DRUMS CRAFTS ARTS NAME ACCOUNT:XIAME N C&D INC. S/C NO:Z7388 NO SOLID WOOD PA CKING MATERIALS.",11424
"WAL-MART STORES INC","TOWELS TOWELS TOWELS GROSS 15779,832 ITEM# 2082073 - 594 C 44 UNITS OF TERRY BATH TOWELS SOLID ITEM# 208 WITH 2.784 UNITS OF TERRY HAND TOWELS SOLID 2 40-DC (PART) BANK REFERENCE NUMBER 605 5OA 12015477-01 DDE 2071507766/0 519901559 CTNR ND P.O. ARE S HOWN AT SHIPPERS REQUEST F OR T TY IN THIS RE SPECT EXPORT REFERENCES SHIPPER 51990 1559 FORWARDING AGENT EXPEDITORS INT-L",15779
"WAL-MART STORES, INC.","10 X 20 POLYETHYLENE TARPAULIN P.O.NO. 3451810592 WAL-MART STORES INC. ITEM NO. 000920816 HTS: 3926909980 VENDOR DECLARE THIS SHIPMENT CONTAINS NO SOLID WOOD PACKING MATERIAL. GLN: 0078742000008 TOTAL: 629 CARTONS / 6490.000 KGS / 27.870 CBM",6490
"ACME FOOD SALES, INC.","3393 CASES ORGANIC TAHINI 12/16 OZ PET JARS UNDER 36 5 LABEL PO#118643 HTS#2008 19",21900
"COSTCO WHOLESALE CORPORATION","TOOL SET A/C COSTCO WHOLESALE CORPORATION COSTCO PO NO. 002880425496 . ITEM NO. 869290 . DETAIL OF COMMODITY 4 PC.TOOL SET . THE SHIPMENT DOES NOT CONTAIN ANY SOLID WOOD PACKING MATERIAL IF APPLICABLE CPSIA URL - WWW.COSTCOCPSIA.COM 'CPSIA CERTIFICATE WWW.ICIX.COM/LINK/ COSTCO/CPSIACERTIFICATION'@ROAD KWUN TONG,KOWLOON,HONG KONG CONTACT PERSON JESSIE JIANG EMAIL ADD. JESSIE JIANG@CONAIR.CO TEL NO 0769-8804-3901 FAX NO 0769-8804-3361 AS AGENT FOR SI SHIPMENT",4274
"COSTCO WHOLESALE","ULTIMATE SHERPA THROW SHIPPERS DESIRE TO STATE THAT PO#960-0304-892 IF APPLICABLE CPSIA URL - WWW.COSTCOCPSIA.COM",6369
"INOAC GROUP NORTH AMERICA, LLC","CELLULAR POLYURETHANE",1918
"ZIFA CORP 1115 CENTRE DR.CITY OF","GENERALACORN STARCH SAMPLE 1BAGFOODSTUFF;",18170
"CONTESSA PREMIUM FOODS,INC","IQF WHOLE GREEN SOYBEANS",19810
"AMS IMPORT CORP.","FOODSTUFFSAS PER ATTACHED SHEET (XX)",14222
"VOLKSWAGEN GROUP OF AMERICA NORTH A","PACKAGE (S) NEW AUTOMOTIVE PARTS HS-CODE: 732690 842199 392630 830120 848180 392690 830230 848350 400931 840991 851110 400942 840999 851220 401693 841370 853641 401699 841480 853690 731519 842131 854430 870810 870891 903180 870829 870892 903210 870830 870899 903289 870850 902990 12-061EUUS AMS FILING THROUGH MSC D IRECT FOB CHARGES PREPAID ALL OTHER CHARGES COLLECT 459E52UXU61",5146
"OCEAN BEAUTY SEAFOODS LLC","FROZEN SMOKED ATLANTIC SALMON 7.500 CASES - 10.281,72 NET KGS. EXPORTED BY PRODUCTOS DEL MAR VENTISQUEROS S.A.. CODE FDA 19530733364. FROZEN SMOKED COHO PORTIONS FROZEN SMOKED COHO FLAKES FROZEN SMOKED ATLANTIC SALMON SLICED FREIGHT PREPAID",11310
"DELPHI C/O RYDER CROSS DOCK","251,600EA OF040 MALE TERMINAL200CL1S0102APEX 20F SEAT CONNECTOR902873-01HYBRID 20WAY MALE CODE AF703110HYBRID 20WAY MALE CODE BF803110INVOICE NO.FW63-2012-032HS NO:8536.90-90008538.90-9000",689
"JOSE MANUEL NUNEZ & ASOCIADOS","24/15OZ CANNED MACKEREL IN TOMATO SAUCE - SIRENA DW.255G/EASY OPEN LID 3-5PCS PER CAN INV413421/SO1055828 S/C 5809341 N/A NINGBO FEIRI MARINE INDUSTRIAL CO.,LTD. XT 852-21218096 F 852-21218097 XXGASCUE. XXSANTO DOMINGO,REPUBLICA DOMINICANA. XXTEL (809) 221-1846 EXT. 104 FAX XX (567) 244-0208 XXJUAN NUNEZ XXRNC 101-65853-3",22663
"PEGASUS MARITIME, INC","9260 BAGS (NINE THOUSAND TWO HUNDRED SIXTY BAGS ONLY) 9260 BAGS 'PARI BRAND' 42,040.40 K GS, 42.04040 M.TONS PAKISTANI MILLED LONG GRAIN SUPER BASM ATI RICE, WELL CLEANED, SORTE XED, DOUBLE POLISHED, WELL CLE ANED & CROP YEAR 2012-2013. AS PER CONTRACT NO. IRI/EXPORT /2012-13/JP-003 DATED 01-03-2 013. KUSHA INC. PURCHASE ORDE R NO. 4300002367 HTS CODE:100 6.30.9055 LOT # 124. FORM E N UMBER BAF 0647684 DT: 21/08/20 14 HBL#: PGSMLHE0035HOU NETWEIGHT: 42,040.40 KGS IMPORTE R AT DESTINATION KUSHA INC/I. T FOODS AMERICAS 11130 WARLAN D DRIVE, - CYPRESS, CA 90630 - USA. TEL: 949-930-1417 9260 BAGS (NINE THOUSAND TWO HUNDRED SIXTY BAGS ONLY) 9260 BAGS 'PARI BRAND' 42,040.40 K GS, 42.04040 M.TONS PAKISTANI MILLED LONG GRAIN SUPER BASM ATI RICE, WELL CLEANED, SORTE XED, DOUBLE POLISHED, WELL CLE ANED & CROP YEAR 2012-2013. AS PER CONTRACT NO. IRI/EXPORT /2012-13/JP-003 DATED 01-03-2 013. KUSHA INC. PURCHASE ORDE R NO. 4300002367 HTS CODE:100 6.30.9055 LOT # 124. FORM E N UMBER BAF 0647684 DT: 21/08/20 14 HBL#: PGSMLHE0035HOU NETWEIGHT: 42,040.40 KGS IMPORTE R AT DESTINATION KUSHA INC/I. T FOODS AMERICAS 11130 WARLAN D DRIVE, - CYPRESS, CA 90630 - USA. TEL: 949-930-1417",42747
"UNITED CARGO MANAGEMENT CANADA,INC","PAPER BOX PACKING MATERIAL PAPER BOX @ T61604188 F50620163 @@ ATTNMS SHIRLEY THE SAME THE SAME THE SAME",5772
"WAL-MART STORES, INC.","JUMBO LCD ALARM CLOCK - LARGE DISPLAY P.O.NO.:0501955832 ITEM NO. : 1728992 HTS CODE : 9105114040,9105114050 DEPARTMENT NO.: 00017 GLN:0078742000008 PO TYPE:0023 PURCHASE ORDER NUMBER: 0501955832",84
"HUNG CHONG LUNG (NEW YORK) INC.","POLLOCK FISH",16500
"L.C. LOGISTICS, INC.(LAX)","CAR COVERS THIS SHIPMENT CONTAINS NO WOOD PACKING MATERIALS",5765
"PEGASUS MARITIME (LAX)","TIFFANY BRAND BISCUITS, WAFERAND CONFECTIONARY NET WT:6515KGS CD NO: 14-1-5-01441105",7430
"BUMBLE BEE FOODS LLC.","5,796 CARTONS 12/6 OZ. CANNED FDA FACILITY REGISTRATION# TARIFF NUMBER: 1605.10.20.40 RESPECTIVELY, IN CONJUNCTION WITH LOAD ( 1 FCL ) FAX : 858-694-9320 FAX : 858-694-9723",17388
"WAL-MART STORES INC","3X3 NEON CUBE PO NO:1851887795 ITEM NO:354837 S/C NO:05-0242 PO TYPE:0043 DEPT NO:00003 GLN NO:0078742000008 CLASS NO:0043 HTS NO:482010 SEA-WAY BILL VENDOR DECLARES THIS SHIPMENT CONTAINS NO REGULATED WOOD PACKING MATERIALS.",5197
"COSTCO WHOLESALE CORPORATION999 LAK","UPHOLSTERY SOFA PO 179-0913986 S-C#GB13-0122 AMS PREPAID IF APPLICABLE CPSIA URL -WWW. COSTCOCPSIA.COM FREIGHT COLLECT",4014
"WAL-MART STORES, INC.","140 CARTONS 13 POCKET TOP AND BOTTOM EXPANDING P.O.NO.: 6 651924358 ITEM NO. 329202 H TS CODE: 3926100000 GLN: 0078 742000008 PO TYPE: EXP FILE - 13 PKT TOP & BOTTOM EXP W/D OC CASE-LETTER 140 CARTONS -DO- ITEM NO. 329213 HTS COD E: 3926100000 EXP FILE - 13 P KT TOP & BOTTOM EXP W/DOC CA SE-CHECK SIZE",749
"KIDS PREFERRED LLC","PLASTIC TOYS AND STUFFED TOYS PO 104696 / 10 5013 / 105064 THIS SHIPMENT CONTAINS NO SOLIDWOOD PACKING MATERIALS",1849
"COSTCO WHOLESALE CORPORATION","COSTCO PO NO. 584-0709-603 HTS CODE- 9503.00.0073 ITEM NO. 981091 -2,880PCS- TOYS PR COSTCO TRAINING SET FREIGHT COLLECT SHIPPER-S LOAD AND COUNT AND SEAL THE ABOVE SHIPMENT DOES NOT CONTAIN ANY REGULATED WOOD PACKAGING MATERIAL. ETD-26-AUG-2013",3050
"SEOUL SHIK POOM INC.","DRIED SEAWEED GRAIN POWDER WITH BLACK BEAN GR SONING SAUCE ROATED LAVER DRIED SEAWEED(DASIM R L C NO. NY D8019 THIS SHIPMENT CONTAINS",20492
"JOSE SANTIAGO, INC.","MCCAIN FROZEN POTATO PRODUCT NET WEIGHT: 44,265.5 LB COMMERCIAL VALUE: $25,235.55 USD NDR (1) - SUM2242",20847
"HIGH LINER FOODS","4370 CTN FROZEN COD FILLETS THIS SHIPMENT CONTAINS NO SOLID WOOD PACKING MATERIAL. N/A SAY TOTAL FOUR THOUSAND THREE HUNDRED AND SEVENTY CARTONS ONLY. TEMPERATURE STATED BY THE SHIPPER TO BE SET AT -20 C, VENTILATION STATED BY THE SHIPPER TO BE CLOSED. CARRIAGE SUBJECT TO CLAUSE 15 OF THIS B/L",22680
"COSTCO WHOLESALE CORPORATION","CHIILDREN-S DINNERWARE SET CHIILDREN-S DINNERWARE SET COVERS PO#960-0411-803 SHIPPER: SARA ROSE INTERNATIONAL INC 20F, 31 SAN MING ROAD, SEC. 2, PANCHIAO, TAIPEI HSIEN, TAIWAN, R.O.C. THE SHIPMENT DOES NOT CONTAIN ANY SOLID WOOD PACKING MATERIAL THE SAME THE SAME THE SAME",5316
"UNITED CARGO MANAGEMENT INC.","626 CARTONSQUILTNO WOOD PACKAGING MATERIALIS USED IN THE SHIPMENT",3969
"WAL-MART STORES INC.","ART F CHRISTMAS FESTIVITIES AN",9345
"ITALFOODS INC.","CRUSHED HOT PEPPERS HOT PEPPERS SAUCE",2176
"FANCO TRADING COMPANY","RAW FROZEN SHRIMP RAW FROZEN SHRIMP",43378
"WORLDBRIDGE FOODS USA INC.","FROZEN SKINLESS BONELESS COD IQF",26000
"THE FISHIN- COMPANY","FROZEN TILAPIA FILLETS",21712
"UPS SUPPLY CHAIN SOLUTIONS, INC.","VIRGIN OIL TARIFF 00000001",13398
"UNITED CARGO MANAGEMENT, INC.","CERAMIC ITEMSPO#: 7194 & 7222 & 7210 &7251THIS SHIPMENT CONTAINS NO WOODPACKAGING MATERIALSCERAMIC ITEMSPO#: 7194 & 7222 & 7210 & 7251THIS SHIPMENT CONTAINS NO WOODPACKAGING MATERIALS",19857
"SUN LEE,INC.","LAYER CAKE1.ELLSE LAYER CAKE BANANA(12BOXES@24PCS@17G)2.ELLSE LAYER CAKE VANILLA(12BOXES@24PCS@17G)3.ELLSE LAYER CAKE CHOCOLATE(12BOXES@24PCS@17G)4.ELLSE LAYER CAKE PANDAN(12BOXES@6PCS@24G)5.ELLSE LAYER CAKE BANANA(12BOXES@24PCS@17G)(FREE OF CHARGE)6.ELLSE LAYER CAKE VANILLA(12BOXES@24PCS@17G)(FREE OF CHARGE)7.ELLSE LAYER CAKE CHOCOLATE(12BOXES@24PCS@17G)(FREE OF CHARGE)INVOICE NO.:EF-199/2010DATE : 10-11-2010TRANSHIPMENT AT KAOHSIUNGBY EVER ELITE V.0539-077E",4163
"PURCELL INTERNATIONAL","COUNT AND WEIGHT CONTAINER(S) SEALED BY SHIPP 1X20- CY/CY 1 CNTR. 2,352 CARTONS 1 FCL (2,352 CARTONS / FCL) 48/5 OZ. CANNED CHUNK LIGHT TUNA IN WATER,(HV) PRCL/34902/KANS REFERS. HARMONIZE CODES : 1604.14.3099 FDA REGISTRATION NUMBER 10066668626 AS PER INVOICE NO.MMPI-918/13 'FREIGHT COLLECT'",19286
"CARNIVAL CRUISE LINES","LOST & FOUND ITEMS, VALUE $175, MADE IN US, TO BE OFFLOADED, NOT TO BE RETURNED ONBOARD, CF 3461",10
"COSTCO WHOLESALE CORPORATION","KITCHEN TOWELS THE SAME THE SAME THE SAME",9249
"PEGASUS MARITIME INC.","(38 JUMBO BOXES PACKED IN 38 WOODEN PALLETS) POLY TETRA FLUORO ETHYLENE GRADE: INOF LON 640 HS CODE.3904 61 SC AC CODE.: TSOC EXPOTER REF N O.:41099008981 1)ORIGIN DOMESTIC / INLAND :PREPAID BAS IS 2)ORIGIN THC: PREPAID BAS IS INVOICE PARTY : NOBLE SHI PPING PVT LTD ++++++++++++++ +++++++++ 1)OCEAN : COLLECT BASIS 2)DESTINATION THC: COL LECT BASIS 3)DESTINATION DOM ESTIC / INLAND: COLLECT BASIS INVOICE PARTY : PEGASUS MARITIME INC",19130
"CARNIVAL PARADISE","POSTER EMOTIVE;VALUE $80;MADE IN US, TO BEOFFLOADED, NOT TO BE RETURNED ONBOARD",1
"WAL-MART STORES, INC.","BAMBOO BANANA TREE HANGER HAMBOO ROUND LAZY S USAN W ROUND BOTTOM, BAMBOO IN LACQUERED FINI SH P.O.NO. 6406748784 DEPT NO 00014 PO TYPE 0043 SHIPPER DECLARES SHIPMENT CONTAINS NO REGULATED WOOD PACKAGING MATERIAL.",2112
"PEGASUS MARITIME, INC.","TOTAL 39 BUNDLES ONLY. STAINLESS STEEL BRIGHT BARS HS CODE 72222012 HBL NO. NOB-LGB-06208 SCAC CODE : PGSM",20199
"NEW BRUNSWICK LIQUOR CORP","EFFERVESCENT WINE, CONT <= 2 LWINEEFFERVESCENT WINE, CONT <= 2 L84 CASE(S) WINES",1554
"AMERI-ASIAN TRADING DEV.,INC.","VEGETABLE SPRING ROLL",16950
"NEPTUNE SHIPPING LIMITED","FURNISHING ARTIC:OTH:KNIT/COTTFABRIC CHAIR COVER HS CODE:6304912940SHAWLS,SCARVES,ETC OF SYN FIBRSASH HS CODE:621430000TABLECLTH&NAPK,MN MD FB:DAMSKNAPKIN HS CODE:6302539090TABLECLTH&NAPK,MN MD FB:DAMSKTABLE CLOTH HS CODE:6302539090 CY/DOOR,78753TABLECLTH&NAPK,MN MD FB:DAMSKFREIGHT PREPAID NAME ACCOUNT:CHINA SKILL FABRTABLECLTH&NAPK,MN MD FB:DAMSKICS CRAFT CO.,LTD",18500
"ORION TRADING COMPANY","BAMBOO WARES BAMBOO WARES",36400
"HEWLETT PACKARD CO C O RYDER","NOTEBOOK COMPUTER",11224
"HIGH LINER FOODS INC.","FROZEN HADDOCK PRODUCTS HS 0 30472 SET TEMP:-23'C FREIG HT PREPAID AT HONGKONG THIS SHIPMENT CONTAINS NO SOLID W OOD PACKING MATERIAL. -FAX: 905-6775157",21845
"ATALANTA CORPORATION ONEATALANTA","6 A10 CANNED FRUIT COCKTAIL 6 A10 CANNED FRUIT COCKTAIL IN LIGHT SYRUP CELEBRITY BRAND THIS SHIPMENT CONTAINS NO SOLID WOOD PACKING MATERIAL FREIGHT COLLECT 6 A10 CANNED FRUIT COCKTAIL 6 A10 CANNED FRUIT COCKTAIL IN LIGHT SYRUP CELEBRITY BRAND THIS SHIPMENT CONTAINS NO SOLID WOOD PACKING MATERIAL FREIGHT COLLECT",46500
"COSTCO WHOLESALE","ALUMINIUM NON-STICK COOKWARE (NON CAST) P.O.NO. 960-0327-009 THIS SHIPMENT CONTAINS NO SOLID WOOD PACKGING MATERIAL HTS NUMBER : 7615103025 CPSIA URL - WWW.COSTCOCPSIA.COM SHIPPERS DESIRE TO STATE THAT SHIPPERS LOAD & COUNT SHIPPED ON BOARD VESSEL: MOL CONTRIBUTION V.009E AT LAEM CHABANG,THAILAND ON 9.JUN.2015",10693
"WALONG MARKETING,INC.","FOODSTUFFS(PRESERVED DUCK EGGS, COOKEDSALTED DUCK EGGS,COOKED SALTED DUCK EGGYOLKS) TEMP:+5DC VENT:CLOSED",12805
"COSTCO WHOLESALE CORPORATION","COSTCO PO NO.179-0510-729 ITEM NO.664194 6 SLICE TOASTER OVEN MADE IN CHINA FREIGHT COLLECT SHIPPER-S LOAD AND COUNT AND SEAL THE ABOVE SHIPMENT DOES NOT CONTAIN ANY REGULATED WOOD PACKAGING MATERIAL. IF APPLICABLE CPSIA URL -WWW.COSTCOCPSIA.COM",5155
"UNITED CARGO MANAGEMENT CANADA,INC.","WASHED SHEET GLASS (GLASS WARE) 1.8MM WASHED SHEET GLASS HTC#7004,90 P.O.#118051 @ HEPING DISTRICT TIANJIN(300051) P.R.CHINA TEL022-23336030",17200
"LIMSON TRADING, INC","GREEN OLIVES IN BRINE PO #316 53 GREEN OLIVES IN BRINE PO #316 51",37678
"CARNIVAL CRUISE LINES","CCL OFFICIAL DOCUMENTS VAL:$1.00LOST AND FOUND ITEMS VAL:$1.00MADE IN USA TO BE OFFLOADED AND NOTRETURN ONBOARD",50
"PERFORMANCE FOOD GROUP","EXTRA VIRGIN OLIVE OILEXTRA VIRGIN OLIVE OIL 'BORGES'H.S. CODE 1509.10EXTRA VIRGIN OLIVE OILEXTRA VIRGIN OLIVE OIL 'BORGES'H.S. CODE 1509.10POMACE OLIVE OILPOMACE OLIVE OIL 'ROYAL'H.S. CODE 1510.00RED WINE VINEGARRED WINE VINEGAR 'BORGES'H.S. CODE 2209.00",19475
"UNILEVER ASCC AG US COLD STORAGE HA","ICE CREAM PRODUCTS (HS. 210500) ICE CREAM PRODUCTS (HS. 210500) ICE CREAM PRODUCTS (HS. 210500) DELIVERY ADDRESS US COLD STORAGE HAZLETON 1102 N.PARK DRIVE HAZLETON PA 18202 UNITED STATES ICE CREAM PRODUCTS (HS. 210500) ICE CREAM PRODUCTS (HS. 210500)",66568
"PANAPESCA USA CORPORATION","OTHER, SQUID FROZEN FILLETSFROZEN FULLY CLEANED TODARODES SQUID",21030
"EASTLAND FOOD CORP.","SWEET SOY 1,635 CARTONS OF FOODSTUFF 1635 CTNS ABC SWT SOY USA 12X600ML 1411 12X600ML INV#194/HAI/04/15 PO#0309-15EA/Y150111 NETT WEIGHT 16,399.050 KGS HS CODE 2103.10.00.00 NET WEIGHT 16,399.050 KGS",17920
"TRANS GROUP SFO","'SHIPPER'S LOAD & COUNT, SAID TO BE' 1 X 40 DC HC, SAID TO CONTAIN LOT NO: 5153 645.00 POLYWOVEN BAGS OF 25.00 KG NET EACH EGYPTIAN BASIL FAQ 117619 16,125.00 KG NET 16,221.75 KG GROSS FI/CY FREIGHT PREPAID",16222
"MARINE FOODS EXPRESS, LTD.","FROZEN COOKED WHOLE CRAWFISH WITH CAJUN FLAVOR",20000
"REAVES LAWRENCE","USED PERSONAL EFFECTS ; CARRIER-MJOM NAME-REAVES LAWRENCE GBL-UQAZ0007930 PCS- 1 - 2 GCWT- 1008 NCWT- 796 CUFT-95 GROSS KG-457 RDD-08-09-2015 ; FREIGHT PAYABLE BY- PREPAID ; - FAX- 0312 4722096 - 0322 3327691 - ESEN@ESENMOVING.COM.TR - ADANA@ESENMOVING.COM.TR -- T-713-631-1095 F-713-631-1099",457
"COSTCO WHOLESALE","Z EAM WITH LAMINATED SHELVES Z EAM WITH LAMINATED SHELVES PO#9601116434 @TEL:511-6985200 FAX:511-6985202",16048
"UPS SUPPLY CHAIN SOLUTIONS, INC.","BAGSET AND DOOR COMPONENTSBAGSET AND DOOR COMPONENTSPHONE 8675582627899 FAX8675582627777",12974
"NISSIN INT L TRANSPORT","ANTENNA TOKOWO SHIPMENT ANTENNA TOKOWO SHIPMENT ANTENNA TOKOWO SHIPMENT",10191
"HONG THAI FOODS CORP.","PO.NO.995 AS PER INVOICE NO. 56599 CANNED COCONUT MILK HARMONIZED CODE : 2106.90.9998 CANNED JACKFRUIT IN SYRUP HARMONIZED CODE : 2008.99.9090 CANNED QUAIL EGGS IN WATER HARMONIZED CODE : 0408.19.0000 NATA DE COCO IN SYRUP HARMONIZED CODE : 2008.19.1500 CANNED COCONUT JUICE DRINK HARMONIZED CODE : A2202.90.9090 CANNED COCONUT JUICE DRINK HARMONIZED CODE : A2202.90.9090 +++FREE GIFT OF NO COMMERCIAL VALUE+++ CANNED BASIL SEED DRINK HARMONIZED CODE : 2202.90.9090 CANNED PASSION FRUIT DRINK HARMONIZED CODE : 2202.90.9090 CANNED THAI TEA DRINK HARMONIZED CODE : 2202.10.0060 CANNED SUGAR CANE IN SYRUP HARMONIZED CODE : 2008.99.9090 CANNED CHRYSANTHEMUM DRINK HARMONIZED CODE : 2202.10.0060 SRIRACHA CHILLI SAUCE HARMONIZED CODE : 2103.90.8000 CANNED RAMBUTAN IN SYRUP HARMONIZED CODE : 2008.99.9090 CANNED RAMBUTAN W PINEAPPLE IN SYRUP HARMONIZED CODE : 2008.99.9090 CANNED TODDY PALM&JACKFRUIT IN SYRUP HARMONIZED CODE : 2008.99.9090 CANNED RED CURRY HARMONIZED CODE : 2103.90.8",20029
"COSTCO WHOLESALE CORPORATION","CERAMIC PRODUCT A/C COSTCO WHOLESALE CORPORATION COSTCO PO NO. 960-1106-159 945 CTNS . DETAIL OF COMMODITY CERAMIC PRODUCT NEW SIDES 4PC PORCELAIN BOWL SET . THE SHIPMENT DOES NOT CONTAIN ANY SOLID WOOD PACKING MATERIAL. IF APPLICABLE CPSIA URL - WWW.COSTCOCPSIA.COM 'CPSIA CERTIFICATE WWW.ICIX.COM/LINK/ COSTCO/CPSIACERTIFICATION' @AS AGENT FOR SHIPPER OVER AND BACK HONG KONG LTD. UNIT E, 15/F., CDW BUILDING,388 CASTLE PEAK ROAD,TSUEN WAN, HONG KONG. CONTACT PERSON JESSICA FUNG EMAIL ADD. JESSICA@OVERBACK-HK.COM TEL NO 852-2412 9973 FAX NO 852-2492 1243",13986
"WAL-MART STORES, INC.","FREIGHT COLLECT FOOTWEAR CHILDRENS LEATHER ATHLETICS - BELLINI MSS P.O.NO.4451737069 ASSORTMENT NO. 2536809 L/C NO. 108011252593-S PACKING 12PRS / CTN --- CFS --- VENDOR DECLARE THAT THIS SHIPMENT CONTAIN NO REGULATED WOOD PACKING MATERIAL. HTS CODE 6403999041 CLASS NO. 0043 GLN0078742000008",1995
"HONG CHANG CORP","FROZEN CROAKERDRIED SILVER ANCHOVYDRIED SHRIMPFDA NO:12743539608TEMP SET AT -18CTHIS SHIPMENT CONTAINS NO SOLIDWOOD PACKING MATERIALSFREIGHT PREPAID",21260
"COSTCO WHOLESALE CORPORATION","LED FLASHLIGHT 3PK A/C COSTCO WHOLESALE CORPORATION COSTCO PO NO. 171-0417-976 84 CTNS (13440 PCS) . DETAIL OF COMMODITY LED FLASHLIGHT 3PK . THE SHIPMENT DOES NOT CONTAIN ANY SOLID WOOD PACKING MATERIAL . IF APPLICABLE CPSIA URL - WWW.COSTCOCPSIA.COM . 'CPSIA CERTIFICATE WWW.ICIX.COM/LINK/ COSTCO/CPSIACERTIFICATION'@ DONG GUAN CITY, GUANG DONG 523623 CONTACT PERSON LINCY GUO EMAIL ADD. LINCY@TECLITE.COM.HK TEL NO 86-769-82609346 FAX NO.86-769-87785959 AS AGENT FOR SI SHIPMENT",10232
"GOLDEN BRIDGE INTERNATIONAL INC.","SHOES;SWEATER;MODEL",6500
"WALONG MARKETING INC","1480 CTNPO 90023233 (LAW)ITEM 342300 LOT 23233-1FROZEN POLLOCK FISH BALL (L)250 CTNSITEM 342301 LOT 23233-2FROZEN SHRIMP BALL (L) JUMBO200 CTNSITEM 342302 LOT 23233-3FROZEN MILKFISH BALLWITH GREEN ONION (L) JUMBO200 CTNSITEM 342303 LOT 23233-4FROZEN SQUID NUGGET (L)200 CTNSITEM 342304 LOT 23233-5FROZEN CUTTLEFISH BALL (L) JUMBO350 CTNSITEM 342316 LOT 23233-6FROZEN FISH TOFU (L) 280 CTNS'UNDER REEFER CONTAINERTEMPERATURE SET AT -18 DEGREE C.'S/O.9201",22341
"QUEEN APPAREL NY, INC.","LADIES- WOVEN JACKET 77%RAYON 20%NYLON 3%SPAN 64074410/40879 1,908 PCS LADIES- WOVEN PANT 63%POLY 33%RAYON 4%SPAN 63442404/40896 4,908 PCS 78%POLY 18%RAYON 4%SPAN 63802810/40863 5,544 PCS 77%RAYON 20%NYLON 3%SPAN 64119410/40877 1,768 PCS TOTAL : 14,128 PCS",6224
