,x,,,,,,,Variables,Dim.1,Dim.2,Dim.3
620,1128                              |  93.563 |   0.429   0.000   0.000 |,,,,,,,palo,-0.002,0.016,0
621,1127                              |  61.175 |  -0.579   0.001   0.000 |,,,,,,,particulars,-0.002,0.016,0
622,1126                              |  94.552 |   0.514   0.001   0.000 |,,,,,,,psiquantum,-0.002,0.016,0
623,1125                              |  72.815 |   0.678   0.001   0.000 |,,,,,,,recordbreaking,-0.002,0.016,0
624,1124                              |  77.162 |   0.792   0.001   0.000 |,,,,,,,nanotechnology,-0.002,0.016,-0.007
625,1122                              | 109.248 |   0.043   0.000   0.000 |,,,,,,,highenergy,-0.004,0.016,0.008
626,1119                              | 152.806 |   4.729   0.048   0.001 |,,,,,,,humanmade,-0.006,0.016,0.002
627,1118                              |  80.991 |   0.879   0.002   0.000 |,,,,,,,heart,-0.006,0.016,-0.002
628,1117                              | 106.259 |  -0.862   0.002   0.000 |,,,,,,,supplement,-0.006,0.016,-0.003
629,1116                              | 147.210 |   2.078   0.009   0.000 |,,,,,,,reality,-0.006,0.016,-0.016
630,1115                              |  96.192 |  -0.376   0.000   0.000 |,,,,,,,qubits,-0.007,0.016,-0.009
631,1114                              | 124.561 |   2.755   0.016   0.000 |,,,,,,,travel,-0.009,0.016,0.007
632,1113                              |  68.833 |  -0.177   0.000   0.000 |,,,,,,,ecosystems,-0.01,0.016,-0.002
633,1112                              |  71.100 |  -0.579   0.001   0.000 |,,,,,,,relevant,0.307,0.015,-0.031
634,1110                              |  93.884 |   0.122   0.000   0.000 |,,,,,,,benchmarks,0.027,0.015,-0.006
635,1108                              | 181.198 |   7.856   0.132   0.002 |,,,,,,,generated,0.024,0.015,-0.018
636,1107                              | 106.117 |  -0.680   0.001   0.000 |,,,,,,,simultaneously,0.012,0.015,-0.01
637,1106                              |  91.266 |   1.722   0.006   0.000 |,,,,,,,sentiment,0.012,0.015,-0.024
638,1105                              |  99.744 |   0.312   0.000   0.000 |,,,,,,,comparable,0.011,0.015,-0.018
639,1104                              |  81.851 |  -0.072   0.000   0.000 |,,,,,,,crispraltered,0.008,0.015,-0.036
640,1103                              | 110.930 |   3.129   0.021   0.001 |,,,,,,,hoped,0.008,0.015,-0.036
641,1102                              | 116.156 |   1.560   0.005   0.000 |,,,,,,,immunotherapy,0.008,0.015,-0.036
642,1101                              | 148.502 |  -1.503   0.005   0.000 |,,,,,,,myeloma—received,0.008,0.015,-0.036
643,1100                              |  94.965 |  -0.581   0.001   0.000 |,,,,,,,sarcoma,0.008,0.015,-0.036
644,1099                              |  69.180 |  -0.006   0.000   0.000 |,,,,,,,s—one,0.008,0.015,-0.036
645,1098                              | 145.333 |   0.042   0.000   0.000 |,,,,,,,base,0.007,0.015,-0.003
646,1097                              |  71.300 |  -0.368   0.000   0.000 |,,,,,,,types,0.003,0.015,-0.025
647,1096                              |  87.219 |  -0.825   0.001   0.000 |,,,,,,,sets,0.002,0.015,-0.019
648,1095                              | 112.533 |  -1.112   0.003   0.000 |,,,,,,,practical,0.001,0.015,-0.01
649,1094                              |  91.333 |  -1.254   0.003   0.000 |,,,,,,,opening,-0.003,0.015,-0.003
650,1093                              |  96.105 |   1.748   0.007   0.000 |,,,,,,,mice,-0.003,0.015,-0.005
651,1092                              |  75.508 |  -0.742   0.001   0.000 |,,,,,,,atoms,-0.003,0.015,-0.005
652,1091                              | 106.464 |  -0.701   0.001   0.000 |,,,,,,,computer,-0.003,0.015,-0.007
653,1090                              | 181.654 |   7.685   0.126   0.002 |,,,,,,,marine,-0.005,0.015,-0.004
654,1089                              |  78.838 |   0.308   0.000   0.000 |,,,,,,,intervention,-0.006,0.015,0.003
655,1088                              |  95.394 |   0.825   0.001   0.000 |,,,,,,,finish,-0.006,0.015,0.002
656,1087                              |  89.019 |  -0.716   0.001   0.000 |,,,,,,,malfunctions,-0.006,0.015,0.002
657,1086                              |  96.889 |  -0.712   0.001   0.000 |,,,,,,,megajoules,-0.006,0.015,0.002
658,1085                              | 142.998 |   1.830   0.007   0.000 |,,,,,,,power”,-0.006,0.015,0.002
659,1084                              | 127.722 |  -0.469   0.000   0.000 |,,,,,,,radioactive,-0.006,0.015,0.002
660,1083                              | 114.859 |   0.010   0.000   0.000 |,,,,,,,yielding,-0.006,0.015,0.002
661,1082                              |  96.883 |  -0.863   0.002   0.000 |,,,,,,,“will,-0.006,0.015,0.002
662,1081                              | 114.099 |   0.239   0.000   0.000 |,,,,,,,neurological,-0.007,0.015,0.002
663,1079                              | 106.419 |   0.249   0.000   0.000 |,,,,,,,drones,-0.009,0.015,0.001
664,1078                              |  86.920 |   0.085   0.000   0.000 |,,,,,,,descriptions,0.346,0.014,-0.023
665,1077                              |  57.256 |  -0.645   0.001   0.000 |,,,,,,,processing,0.14,0.014,-0.028
666,1076                              |  61.320 |  -0.776   0.001   0.000 |,,,,,,,images,0.062,0.014,-0.019
667,1075                              |  84.261 |  -0.930   0.002   0.000 |,,,,,,,designers,0.034,0.014,-0.007
668,1074                              |  88.479 |  -1.094   0.003   0.000 |,,,,,,,outperformed,0.028,0.014,-0.007
669,1073                              |  46.148 |  -0.947   0.002   0.000 |,,,,,,,iteratively,0.025,0.014,-0.006
670,1072                              |  80.725 |  -1.042   0.002   0.000 |,,,,,,,refining,0.014,0.014,-0.009
671,1071                              |  79.821 |  -0.522   0.001   0.000 |,,,,,,,several,0.014,0.014,-0.017
672,1070                              | 128.794 |   0.020   0.000   0.000 |,,,,,,,ranking,0.01,0.014,-0.011
673,1069                              |  51.977 |  -0.815   0.001   0.000 |,,,,,,,allows,0.01,0.014,-0.026
674,1068                              |  71.922 |  -0.458   0.000   0.000 |,,,,,,,wellsuited,0.008,0.014,-0.007
675,1065                              | 166.822 |  -2.292   0.011   0.000 |,,,,,,,varying,0.007,0.014,-0.009
676,1063                              | 119.295 |  -0.826   0.001   0.000 |,,,,,,,knock,0.007,0.014,-0.032
677,1062                              | 123.348 |   1.786   0.007   0.000 |,,,,,,,limitations,0.006,0.014,-0.027
678,1061                              | 100.127 |   1.660   0.006   0.000 |,,,,,,,feasible,0.006,0.014,-0.029
679,1060                              | 108.281 |  -0.317   0.000   0.000 |,,,,,,,openended,0.005,0.014,0
680,1059                              | 114.235 |   0.891   0.002   0.000 |,,,,,,,inserted,0.004,0.014,-0.029
681,1058                              | 123.095 |  -0.071   0.000   0.000 |,,,,,,,cameras,0.003,0.014,0.003
682,1057                              |  56.022 |  -0.479   0.000   0.000 |,,,,,,,better,0.003,0.014,-0.033
683,1054                              | 126.565 |   1.160   0.003   0.000 |,,,,,,,total,0.002,0.014,0.007
684,1053                              | 104.523 |   0.415   0.000   0.000 |,,,,,,,deposition,0.002,0.014,0.007
685,1050                              |  86.696 |  -0.235   0.000   0.000 |,,,,,,,feedback,0.002,0.014,-0.01
686,1049                              |  85.158 |  -0.446   0.000   0.000 |,,,,,,,biopsy,0,0.014,-0.002
687,1048                              |  73.297 |  -0.168   0.000   0.000 |,,,,,,,acquired,-0.001,0.014,0.004
688,1047                              |  72.266 |  -0.915   0.002   0.000 |,,,,,,,avenues,-0.001,0.014,0.004
689,1046                              | 110.803 |  -1.160   0.003   0.000 |,,,,,,,deliberately,-0.001,0.014,0.004
690,1045                              |  78.420 |  -0.238   0.000   0.000 |,,,,,,,laying,-0.001,0.014,0.004
691,1044                              | 152.386 |  -0.240   0.000   0.000 |,,,,,,,unlearn,-0.001,0.014,0.004
692,1043                              |  79.798 |   0.835   0.001   0.000 |,,,,,,,typically,-0.001,0.014,-0.005
693,1042                              | 105.293 |  -0.398   0.000   0.000 |,,,,,,,targeting,-0.002,0.014,-0.004
694,1041                              | 105.058 |   2.418   0.012   0.001 |,,,,,,,beautiful,-0.002,0.014,-0.009
695,1040                              | 108.548 |  -0.455   0.000   0.000 |,,,,,,,material,-0.006,0.014,0.004
696,1039                              |  85.412 |   0.325   0.000   0.000 |,,,,,,,batteries,-0.006,0.014,0.001
697,1038                              | 102.918 |   4.495   0.043   0.002 |,,,,,,,clean,-0.007,0.014,-0.002
698,1037                              | 118.821 |  -1.195   0.003   0.000 |,,,,,,,comfort,-0.008,0.014,0.003
699,1036                              | 121.869 |   2.370   0.012   0.000 |,,,,,,,typical,-0.01,0.014,0.001
700,1035                              | 166.847 |   1.101   0.003   0.000 |,,,,,,,implant,-0.011,0.014,-0.001
701,1034                              |  81.102 |   1.017   0.002   0.000 |,,,,,,,believe,-0.011,0.014,-0.01
702,1033                              | 101.857 |  -0.250   0.000   0.000 |,,,,,,,complications,-0.014,0.014,0
703,1032                              | 112.297 |   1.365   0.004   0.000 |,,,,,,,indicates,0.578,0.013,-0.024
704,1031                              | 128.718 |  -0.066   0.000   0.000 |,,,,,,,answering,0.35,0.013,-0.033
705,1030                              |  37.721 |  -0.471   0.000   0.000 |,,,,,,,question,0.313,0.013,-0.024
706,1029                              |  71.402 |  -0.703   0.001   0.000 |,,,,,,,exploring,0.271,0.013,-0.02
707,1028                              | 100.710 |  -0.042   0.000   0.000 |,,,,,,,discovered,0.226,0.013,-0.015
708,1027                              |  78.789 |  -0.719   0.001   0.000 |,,,,,,,slightly,0.025,0.013,-0.009
709,1026                              |  72.132 |   0.607   0.001   0.000 |,,,,,,,scaled,0.022,0.013,-0.015
710,1025                              | 114.093 |  -0.463   0.000   0.000 |,,,,,,,firstly,0.017,0.013,-0.013
711,1024                              |  99.342 |  -0.369   0.000   0.000 |,,,,,,,secondly,0.017,0.013,-0.013
712,1023                              |  66.900 |   0.936   0.002   0.000 |,,,,,,,architecture,0.013,0.013,-0.015
713,1022                              |  89.403 |  -0.478   0.000   0.000 |,,,,,,,wider,0.01,0.013,-0.01
714,1021                              |  69.473 |  -0.837   0.001   0.000 |,,,,,,,bandwidth,0.008,0.013,-0.023
715,1020                              | 113.410 |   0.263   0.000   0.000 |,,,,,,,great,0.007,0.013,-0.011
716,1019                              |  89.291 |  -0.622   0.001   0.000 |,,,,,,,apis,0.006,0.013,-0.01
717,1018                              | 108.190 |  -0.715   0.001   0.000 |,,,,,,,revolutionizing,0.005,0.013,0.001
718,1017                              |  96.511 |  -0.526   0.001   0.000 |,,,,,,,expectations,0.005,0.013,-0.008
719,1016                              | 107.944 |  -0.120   0.000   0.000 |,,,,,,,navigate,0.004,0.013,-0.006
720,1015                              | 102.269 |   1.276   0.003   0.000 |,,,,,,,vast,0.004,0.013,-0.008
721,1014                              | 104.474 |  -0.402   0.000   0.000 |,,,,,,,irrelevant,0.002,0.013,-0.001
722,1013                              | 138.180 |  -0.447   0.000   0.000 |,,,,,,,helps,0.002,0.013,-0.013
723,1012                              |  93.044 |   1.256   0.003   0.000 |,,,,,,,simulated,0.001,0.013,-0.005
724,1011                              |  82.915 |  -0.843   0.002   0.000 |,,,,,,,producers,0.001,0.013,-0.009
725,1010                              |  60.988 |  -0.268   0.000   0.000 |,,,,,,,difference,0.001,0.013,-0.015
726,1009                              | 141.153 |  -1.394   0.004   0.000 |,,,,,,,exhibited,0,0.013,0.006
727,1008                              | 116.162 |   1.067   0.002   0.000 |,,,,,,,filled,0,0.013,-0.004
728,1007                              | 163.178 |   4.678   0.047   0.001 |,,,,,,,calculations,-0.001,0.013,-0.008
729,1006                              |  99.020 |  -0.955   0.002   0.000 |,,,,,,,examines,-0.002,0.013,0.004
730,1005                              | 125.585 |  -0.526   0.001   0.000 |,,,,,,,revolutionary,-0.002,0.013,-0.002
731,1004                              | 101.035 |  -0.107   0.000   0.000 |,,,,,,,biologists,-0.002,0.013,-0.002
732,1003                              |  83.162 |   2.202   0.010   0.001 |,,,,,,,biomaterials,-0.002,0.013,-0.002
733,1002                              | 187.722 |   7.523   0.121   0.002 |,,,,,,,construct,-0.002,0.013,-0.002
734,1001                              | 111.779 |   0.776   0.001   0.000 |,,,,,,,futures,-0.002,0.013,-0.002
735,1000                              | 125.285 |  -1.092   0.003   0.000 |,,,,,,,twin,-0.002,0.013,-0.002
736,999                               | 101.310 |  -0.671   0.001   0.000 |,,,,,,,twins,-0.002,0.013,-0.002
737,998                               | 115.476 |   0.043   0.000   0.000 |,,,,,,,huge,-0.002,0.013,-0.004
738,997                               |  89.190 |  -0.794   0.001   0.000 |,,,,,,,advances,-0.002,0.013,-0.011
739,996                               |  65.525 |  -0.744   0.001   0.000 |,,,,,,,selfdriving,-0.002,0.013,-0.011
740,995                               | 106.628 |  -1.045   0.002   0.000 |,,,,,,,deliver,-0.003,0.013,-0.006
741,994                               | 127.043 |   0.017   0.000   0.000 |,,,,,,,augmented,-0.003,0.013,-0.015
742,993                               | 105.981 |  -0.972   0.002   0.000 |,,,,,,,because,-0.004,0.013,-0.002
743,992                               | 110.203 |  -1.087   0.003   0.000 |,,,,,,,biocompatible,-0.004,0.013,-0.002
744,991                               | 167.879 |   1.564   0.005   0.000 |,,,,,,,modeling,-0.004,0.013,-0.004
745,990                               | 150.079 |   0.813   0.001   0.000 |,,,,,,,surgery,-0.004,0.013,-0.007
746,988                               | 129.795 |  -0.592   0.001   0.000 |,,,,,,,clarity,-0.005,0.013,0.003
747,987                               |  93.269 |  -0.981   0.002   0.000 |,,,,,,,amper,-0.005,0.013,0.002
748,984                               |  97.136 |  -0.762   0.001   0.000 |,,,,,,,amperium,-0.005,0.013,0.002
749,983                               |  69.105 |  -0.958   0.002   0.000 |,,,,,,,blend,-0.005,0.013,0.002
750,982                               |  91.227 |  -0.932   0.002   0.000 |,,,,,,,charge,-0.005,0.013,0.002
751,981                               |  46.221 |  -0.723   0.001   0.000 |,,,,,,,deterred,-0.005,0.013,0.002
752,980                               |  49.104 |  -0.795   0.001   0.000 |,,,,,,,farther,-0.005,0.013,0.002
753,979                               |  55.093 |  -0.899   0.002   0.000 |,,,,,,,rechargeable,-0.005,0.013,0.002
754,978                               |  79.967 |  -0.929   0.002   0.000 |,,,,,,,scientifics,-0.005,0.013,0.002
755,977                               |  53.833 |  -1.007   0.002   0.000 |,,,,,,,stops,-0.005,0.013,0.002
756,975                               | 109.484 |  -1.446   0.004   0.000 |,,,,,,,organisms,-0.005,0.013,-0.002
757,974                               | 106.807 |  -0.626   0.001   0.000 |,,,,,,,highdemand,-0.005,0.013,-0.002
758,972                               |  71.496 |  -0.831   0.001   0.000 |,,,,,,,magnetism,-0.005,0.013,-0.002
759,970                               | 113.106 |   0.644   0.001   0.000 |,,,,,,,minerals,-0.005,0.013,-0.002
760,968                               |  97.492 |  -1.273   0.003   0.000 |,,,,,,,paso,-0.005,0.013,-0.002
761,967                               |  86.681 |  -0.624   0.001   0.000 |,,,,,,,physicists,-0.005,0.013,-0.002
762,966                               | 113.609 |  -1.167   0.003   0.000 |,,,,,,,retains,-0.005,0.013,-0.002
763,965                               |  87.299 |  -1.065   0.002   0.000 |,,,,,,,send,-0.006,0.013,-0.004
764,964                               |  92.730 |  -1.272   0.003   0.000 |,,,,,,,stable,-0.006,0.013,-0.005
765,962                               | 145.289 |  -1.387   0.004   0.000 |,,,,,,,breakthrough,-0.006,0.013,-0.011
766,961                               | 101.138 |  -1.213   0.003   0.000 |,,,,,,,airplane,-0.007,0.013,0.005
767,960                               |  77.071 |  -0.668   0.001   0.000 |,,,,,,,cabins,-0.007,0.013,0.005
768,959                               | 112.817 |  -0.406   0.000   0.000 |,,,,,,,coatings,-0.007,0.013,0.005
769,958                               |  57.880 |  -0.944   0.002   0.000 |,,,,,,,filtration,-0.007,0.013,0.005
770,957                               |  71.348 |  -0.700   0.001   0.000 |,,,,,,,here’s,-0.007,0.013,0.005
771,955                               |  89.266 |  -1.063   0.002   0.000 |,,,,,,,passenger,-0.007,0.013,0.005
772,954                               |  74.331 |  -0.912   0.002   0.000 |,,,,,,,plane,-0.007,0.013,0.005
773,953                               |  69.776 |  -0.755   0.001   0.000 |,,,,,,,redesigning,-0.007,0.013,0.005
774,952                               | 108.950 |  -0.950   0.002   0.000 |,,,,,,,seating,-0.007,0.013,0.005
775,951                               |  97.204 |  -1.151   0.003   0.000 |,,,,,,,selfcleaning,-0.007,0.013,0.005
776,950                               |  82.326 |  -1.150   0.003   0.000 |,,,,,,,touchless,-0.007,0.013,0.005
777,949                               | 143.441 |  -1.746   0.006   0.000 |,,,,,,,battery,-0.007,0.013,0.001
778,948                               |  73.188 |  -0.825   0.001   0.000 |,,,,,,,airline,-0.008,0.013,0.005
779,947                               |  71.276 |  -1.070   0.002   0.000 |,,,,,,,brain,-0.008,0.013,-0.016
780,946                               |  87.992 |  -1.313   0.004   0.000 |,,,,,,,enter,-0.01,0.013,0.001
781,945                               |  94.019 |  -1.005   0.002   0.000 |,,,,,,,addicted,-0.013,0.013,0.004
782,944                               | 124.577 |  -1.350   0.004   0.000 |,,,,,,,atmosphere,-0.013,0.013,0.004
783,943                               |  97.348 |  -1.101   0.003   0.000 |,,,,,,,attitude,-0.013,0.013,0.004
784,942                               |  96.201 |  -0.797   0.001   0.000 |,,,,,,,brainimplants,-0.013,0.013,0.004
785,941                               |  72.681 |  -1.270   0.003   0.000 |,,,,,,,chaotic,-0.013,0.013,0.004
786,940                               |  99.424 |  -0.960   0.002   0.000 |,,,,,,,clashed,-0.013,0.013,0.004
787,939                               |  90.163 |  -1.095   0.003   0.000 |,,,,,,,cooker,-0.013,0.013,0.004
788,938                               | 112.775 |   0.026   0.000   0.000 |,,,,,,,damp,-0.013,0.013,0.004
789,937                               |  66.966 |  -0.813   0.001   0.000 |,,,,,,,depressed,-0.013,0.013,0.004
790,936                               |  62.570 |  -1.137   0.003   0.000 |,,,,,,,disabled,-0.013,0.013,0.004
791,935                               | 135.060 |  -0.745   0.001   0.000 |,,,,,,,feverish,-0.013,0.013,0.004
792,934                               |  56.527 |  -1.114   0.003   0.000 |,,,,,,,forgo,-0.013,0.013,0.004
793,933                               |  61.822 |  -1.023   0.002   0.000 |,,,,,,,painstaking,-0.013,0.013,0.004
794,932                               |  68.044 |  -1.402   0.004   0.000 |,,,,,,,phones,-0.013,0.013,0.004
795,931                               |  70.573 |  -0.277   0.000   0.000 |,,,,,,,plagued,-0.013,0.013,0.004
796,928                               |  81.423 |  -0.445   0.000   0.000 |,,,,,,,realistically,-0.013,0.013,0.004
797,927                               | 100.283 |  -0.650   0.001   0.000 |,,,,,,,retrain,-0.013,0.013,0.004
798,925                               | 112.867 |  -1.379   0.004   0.000 |,,,,,,,sheep,-0.013,0.013,0.004
799,924                               |  85.078 |  -1.375   0.004   0.000 |,,,,,,,stat,-0.013,0.013,0.004
800,923                               |  85.363 |  -1.490   0.005   0.000 |,,,,,,,stoke,-0.013,0.013,0.004
801,922                               | 132.827 |  -0.387   0.000   0.000 |,,,,,,,suspect,-0.013,0.013,0.004
802,920                               |  87.650 |  -0.862   0.002   0.000 |,,,,,,,timelines,-0.013,0.013,0.004
803,919                               |  96.856 |  -1.246   0.003   0.000 |,,,,,,,walk,-0.013,0.013,0.004
804,918                               |  79.921 |  -1.296   0.004   0.000 |,,,,,,,appealing,0.606,0.012,-0.027
805,916                               | 102.394 |   0.162   0.000   0.000 |,,,,,,,visually,0.532,0.012,-0.026
806,915                               |  83.488 |  -1.150   0.003   0.000 |,,,,,,,their,0.382,0.012,-0.021
807,914                               | 109.460 |   0.084   0.000   0.000 |,,,,,,,individual,0.225,0.012,-0.021
808,913                               |  82.640 |  -0.865   0.002   0.000 |,,,,,,,full,0.143,0.012,-0.011
809,912                               |  95.304 |  -1.621   0.006   0.000 |,,,,,,,ability,0.067,0.012,-0.032
810,911                               |  70.162 |   0.292   0.000   0.000 |,,,,,,,developers,0.052,0.012,-0.01
811,909                               |  79.477 |  -0.836   0.001   0.000 |,,,,,,,iterate,0.024,0.012,-0.007
812,908                               | 100.938 |  -1.285   0.004   0.000 |,,,,,,,explore,0.022,0.012,-0.012
813,907                               |  83.267 |  -1.361   0.004   0.000 |,,,,,,,robust,0.018,0.012,-0.015
814,906                               | 146.287 |  -1.698   0.006   0.000 |,,,,,,,challenge,0.011,0.012,-0.005
815,905                               |  87.812 |  -0.388   0.000   0.000 |,,,,,,,finetune,0.011,0.012,-0.008
816,904                               | 110.238 |  -1.408   0.004   0.000 |,,,,,,,producing,0.01,0.012,-0.007
817,903                               |  74.015 |  -1.237   0.003   0.000 |,,,,,,,calibration,0.01,0.012,-0.01
818,901                               | 165.720 |   1.452   0.004   0.000 |,,,,,,,comprehend,0.01,0.012,-0.01
819,900                               | 113.999 |  -0.462   0.000   0.000 |,,,,,,,empirically,0.01,0.012,-0.01
820,899                               |  53.975 |  -0.746   0.001   0.000 |,,,,,,,insensitivity,0.01,0.012,-0.01
821,898                               | 105.929 |  -1.270   0.003   0.000 |,,,,,,,listwise,0.01,0.012,-0.01
822,897                               |  86.410 |  -0.509   0.001   0.000 |,,,,,,,meaningless,0.01,0.012,-0.01
823,896                               |  73.245 |  -0.954   0.002   0.000 |,,,,,,,mediumsized,0.01,0.012,-0.01
824,894                               |  97.124 |  -0.274   0.000   0.000 |,,,,,,,obvious,0.01,0.012,-0.01
825,893                               | 117.517 |  -1.255   0.003   0.000 |,,,,,,,pair,0.01,0.012,-0.01
826,892                               | 101.786 |  -1.439   0.004   0.000 |,,,,,,,pairwise,0.01,0.012,-0.01
827,891                               |  99.896 |  -1.108   0.003   0.000 |,,,,,,,pointless,0.01,0.012,-0.01
828,888                               |  84.510 |  -1.008   0.002   0.000 |,,,,,,,possibly,0.01,0.012,-0.01
829,887                               | 120.541 |  -2.212   0.010   0.000 |,,,,,,,prp’s,0.01,0.012,-0.01
830,886                               | 119.692 |  -2.227   0.011   0.000 |,,,,,,,rating,0.01,0.012,-0.01
831,884                               | 117.228 |  -0.383   0.000   0.000 |,,,,,,,techniques’,0.01,0.012,-0.01
832,883                               | 115.342 |  -1.560   0.005   0.000 |,,,,,,,singlecell,0.008,0.012,-0.009
833,882                               |  99.822 |  -1.068   0.002   0.000 |,,,,,,,summaries,0.007,0.012,0.003
834,881                               |  76.277 |  -1.048   0.002   0.000 |,,,,,,,consistency,0.007,0.012,-0.002
835,880                               |  77.629 |  -1.061   0.002   0.000 |,,,,,,,applicationshere,0.007,0.012,-0.004
836,879                               | 115.147 |   1.968   0.008   0.000 |,,,,,,,articlelora,0.007,0.012,-0.004
837,878                               | 124.881 |  -0.980   0.002   0.000 |,,,,,,,deploylora,0.007,0.012,-0.004
838,877                               |  92.834 |  -1.235   0.003   0.000 |,,,,,,,deploythe,0.007,0.012,-0.004
839,876                               | 106.428 |  -1.342   0.004   0.000 |,,,,,,,efficientthe,0.007,0.012,-0.004
840,875                               | 149.982 |  -0.791   0.001   0.000 |,,,,,,,lora,0.007,0.012,-0.004
841,873                               |  97.891 |  -1.325   0.004   0.000 |,,,,,,,lowrank,0.007,0.012,-0.004
842,872                               | 180.842 |  -2.784   0.017   0.000 |,,,,,,,methodslora,0.007,0.012,-0.004
843,871                               | 107.991 |   0.230   0.000   0.000 |,,,,,,,taskslora,0.007,0.012,-0.004
844,870                               | 119.884 |   3.021   0.019   0.001 |,,,,,,,trainable,0.007,0.012,-0.004
845,868                               | 130.347 |   1.645   0.006   0.000 |,,,,,,,adapting,0.007,0.012,-0.007
846,867                               | 190.744 |  -0.710   0.001   0.000 |,,,,,,,patterns,0.004,0.012,-0.018
847,866                               | 125.053 |  -0.822   0.001   0.000 |,,,,,,,musk,0.004,0.012,-0.028
848,865                               | 113.671 |  -0.645   0.001   0.000 |,,,,,,,persistent,0.004,0.012,-0.034
849,864                               | 123.953 |   0.506   0.001   0.000 |,,,,,,,epipen,0.003,0.012,-0.004
850,863                               | 106.036 |  -0.440   0.000   0.000 |,,,,,,,minimal,0.003,0.012,-0.004
851,860                               |  50.320 |   0.693   0.001   0.000 |,,,,,,,showing,0.002,0.012,-0.02
852,858                               | 125.813 |  -1.143   0.003   0.000 |,,,,,,,mris,0.001,0.012,0.004
853,856                               |  84.902 |  -0.207   0.000   0.000 |,,,,,,,xrays,0.001,0.012,0.004
854,855                               |  78.789 |  -1.012   0.002   0.000 |,,,,,,,improvement,0.001,0.012,-0.022
855,854                               |  85.738 |  -0.544   0.001   0.000 |,,,,,,,added,0,0.012,0.002
856,853                               |  82.111 |   0.259   0.000   0.000 |,,,,,,,largescale,0,0.012,-0.008
857,852                               |  73.555 |  -0.862   0.002   0.000 |,,,,,,,bodys,-0.001,0.012,-0.001
858,851                               | 128.072 |  -0.454   0.000   0.000 |,,,,,,,automation,-0.001,0.012,-0.002
859,850                               |  63.266 |   0.298   0.000   0.000 |,,,,,,,description,-0.001,0.012,-0.008
860,849                               | 110.858 |  -1.285   0.004   0.000 |,,,,,,,before,-0.002,0.012,0.003
861,848                               | 156.910 |   2.780   0.016   0.000 |,,,,,,,contraindications,-0.002,0.012,0.003
862,847                               | 189.621 |   9.133   0.178   0.002 |,,,,,,,promptly,-0.002,0.012,0.003
863,846                               | 101.811 |  -0.201   0.000   0.000 |,,,,,,,riskbased,-0.002,0.012,0.003
864,845                               |  76.280 |  -0.453   0.000   0.000 |,,,,,,,option,-0.002,0.012,-0.01
865,844                               | 137.800 |  -1.153   0.003   0.000 |,,,,,,,printer,-0.002,0.012,-0.011
866,843                               |  90.842 |   1.080   0.002   0.000 |,,,,,,,chips,-0.003,0.012,0.011
867,842                               | 151.616 |  -1.384   0.004   0.000 |,,,,,,,acoustic,-0.003,0.012,0
868,841                               | 132.643 |  -0.091   0.000   0.000 |,,,,,,,beams,-0.003,0.012,0
869,840                               |  82.750 |  -1.243   0.003   0.000 |,,,,,,,beamsplitter,-0.003,0.012,0
870,839                               |  89.909 |   0.828   0.001   0.000 |,,,,,,,chicago,-0.003,0.012,0
871,838                               | 120.695 |  -0.349   0.000   0.000 |,,,,,,,electrons,-0.003,0.012,0
872,837                               | 134.374 |  -0.492   0.001   0.000 |,,,,,,,elementary,-0.003,0.012,0
873,836                               | 175.246 |  -1.719   0.006   0.000 |,,,,,,,motion,-0.003,0.012,0
874,835                               | 134.881 |  -1.316   0.004   0.000 |,,,,,,,phonons,-0.003,0.012,0
875,834                               | 136.407 |  -1.070   0.002   0.000 |,,,,,,,pritzker,-0.003,0.012,0
876,833                               | 130.030 |  -1.899   0.008   0.000 |,,,,,,,split,-0.003,0.012,0
877,832                               |  92.006 |  -1.571   0.005   0.000 |,,,,,,,vibrational,-0.003,0.012,0
878,831                               |  94.870 |  -1.504   0.005   0.000 |,,,,,,,biology,-0.004,0.012,-0.009
879,830                               | 134.841 |   0.865   0.002   0.000 |,,,,,,,july,-0.007,0.012,0.002
880,829                               | 132.688 |  -1.621   0.006   0.000 |,,,,,,,paralysis,-0.007,0.012,-0.006
881,828                               | 109.525 |  -0.751   0.001   0.000 |,,,,,,,estimates,-0.008,0.012,-0.005
882,827                               | 171.103 |   3.848   0.032   0.001 |,,,,,,,minds,-0.008,0.012,-0.008
883,826                               | 163.364 |  -0.436   0.000   0.000 |,,,,,,,musks,-0.008,0.012,-0.017
884,825                               |  88.453 |  -1.076   0.002   0.000 |,,,,,,,lower,-0.009,0.012,-0.006
885,823                               | 105.590 |  -1.265   0.003   0.000 |,,,,,,,pave,-0.01,0.012,-0.007
886,822                               | 105.167 |   0.301   0.000   0.000 |,,,,,,,bacteria,-0.012,0.012,-0.002
887,821                               |  95.866 |   1.250   0.003   0.000 |,,,,,,,responsive,-0.012,0.012,-0.008
888,820                               | 120.034 |  -0.928   0.002   0.000 |,,,,,,,building,-0.012,0.012,-0.014
889,819                               | 113.814 |  -0.871   0.002   0.000 |,,,,,,,although,0.712,0.011,-0.033
890,818                               | 119.129 |  -0.051   0.000   0.000 |,,,,,,,achieve,0.132,0.011,-0.018
891,817                               | 166.756 |   6.719   0.096   0.002 |,,,,,,,process,0.072,0.011,-0.026
892,816                               |  73.593 |   0.903   0.002   0.000 |,,,,,,,range,0.068,0.011,-0.041
